Catégorie,Message
Aide Technique,Comment faire pour réinitialiser mon mot de passe ? Merci d'avance.
Facturation,Je souhaite recevoir une facture avec la TVA apparente. C'est urgent !
Problèmes d'expédition,Le carton est arrivé complètement écrasé. Quel est le problème ?
"Problèmes d'expédition,""Délais de livraison non respectés, je souhaite un remboursement. C'est urgent !"""
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ?
Aide Technique,Ma batterie se décharge beaucoup trop vite. C'est urgent !
"Problèmes d'expédition,""Délais de livraison non respectés, je souhaite un remboursement. Pouvez-vous m'aider ?"""
Aide Technique,Ma batterie se décharge beaucoup trop vite. Cordialement.
Facturation,Mon paiement est refusé alors que mon compte est approvisionné. Quel est le problème ?
Problèmes d'expédition,Il manque un article dans ma commande reçue ce matin. Cordialement.
Problèmes d'expédition,Mon colis est marqué comme livré mais je n'ai rien reçu. C'est urgent !
Facturation,Mon abonnement a été renouvelé sans mon accord. Merci d'avance.
Aide Technique,Comment faire pour réinitialiser mon mot de passe ?
Problèmes d'expédition,Il manque un article dans ma commande reçue ce matin. Cordialement.
Facturation,Le montant sur ma facture ne correspond pas au prix affiché. Pouvez-vous m'aider ?
Facturation,Le code promo n'a pas été appliqué sur ma facture finale. Merci d'avance.
Problèmes d'expédition,Mon colis est marqué comme livré mais je n'ai rien reçu. Quel est le problème ?
Problèmes d'expédition,Je n'ai toujours pas reçu mon numéro de suivi.
Problèmes d'expédition,Je n'ai toujours pas reçu mon numéro de suivi.
Problèmes d'expédition,Je n'ai toujours pas reçu mon numéro de suivi. Merci d'avance.
Facturation,Pouvez-vous m'envoyer un duplicata de ma facture de janvier ? Merci d'avance.
Aide Technique,Je n'arrive pas à synchroniser mes données avec le cloud.
Aide Technique,Mon appareil ne s'allume plus depuis ce matin. Cordialement.
Problèmes d'expédition,Le carton est arrivé complètement écrasé. C'est urgent !
Aide Technique,Ma batterie se décharge beaucoup trop vite. Pouvez-vous m'aider ?
Aide Technique,L'application plante à chaque fois que je tente de me connecter. Quel est le problème ?
Aide Technique,J'ai un message d'erreur 'Error 404' sur l'écran principal. C'est urgent !
Facturation,Je n'arrive pas à mettre à jour mes coordonnées bancaires. Merci d'avance.
Facturation,J'ai été prélevé deux fois pour le même achat. Merci d'avance.
Aide Technique,Le logiciel est extrêmement lent sur mon ordinateur. Merci d'avance.
Facturation,Mon abonnement a été renouvelé sans mon accord. Pouvez-vous m'aider ?
Facturation,Je souhaite recevoir une facture avec la TVA apparente. Pouvez-vous m'aider ?
Facturation,Je souhaite recevoir une facture avec la TVA apparente. Cordialement.
Problèmes d'expédition,Je n'ai toujours pas reçu mon numéro de suivi. Merci d'avance.
Aide Technique,Ma batterie se décharge beaucoup trop vite. C'est urgent !
Aide Technique,Ma batterie se décharge beaucoup trop vite. Quel est le problème ?
Problèmes d'expédition,J'ai reçu un article cassé dans mon carton.
Aide Technique,Comment faire pour réinitialiser mon mot de passe ?
Aide Technique,Je n'arrive pas à synchroniser mes données avec le cloud. Quel est le problème ?
Problèmes d'expédition,Mon colis est marqué comme livré mais je n'ai rien reçu. Cordialement.
Facturation,Je souhaite recevoir une facture avec la TVA apparente.
Aide Technique,Le logiciel est extrêmement lent sur mon ordinateur. Quel est le problème ?
Problèmes d'expédition,Le colis a été envoyé à la mauvaise ville. Pouvez-vous m'aider ?
"Problèmes d'expédition,""Délais de livraison non respectés, je souhaite un remboursement. C'est urgent !"""
Problèmes d'expédition,Le livreur n'est jamais passé malgré l'avis de passage. Quel est le problème ?
Problèmes d'expédition,Il manque un article dans ma commande reçue ce matin. Cordialement.
Aide Technique,L'application plante à chaque fois que je tente de me connecter. Pouvez-vous m'aider ?
Problèmes d'expédition,Le suivi de ma commande n'a pas bougé depuis 4 jours. C'est urgent !
Aide Technique,La mise à jour a échoué trois fois de suite. Cordialement.
Facturation,Je demande le remboursement immédiat de ma commande annulée. Merci d'avance.
Aide Technique,L'application plante à chaque fois que je tente de me connecter. Pouvez-vous m'aider ?
Aide Technique,Je n'arrive pas à synchroniser mes données avec le cloud. Quel est le problème ?
Aide Technique,L'application plante à chaque fois que je tente de me connecter. C'est urgent !
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ? C'est urgent !
Aide Technique,Comment faire pour réinitialiser mon mot de passe ? Pouvez-vous m'aider ?
Problèmes d'expédition,Il manque un article dans ma commande reçue ce matin. Quel est le problème ?
Aide Technique,Je n'arrive pas à synchroniser mes données avec le cloud.
Aide Technique,Je n'arrive pas à synchroniser mes données avec le cloud. Pouvez-vous m'aider ?
Problèmes d'expédition,Le colis a été envoyé à la mauvaise ville. C'est urgent !
Aide Technique,La mise à jour a échoué trois fois de suite. Quel est le problème ?
Problèmes d'expédition,Il manque un article dans ma commande reçue ce matin. Pouvez-vous m'aider ?
Facturation,Mon paiement est refusé alors que mon compte est approvisionné. Cordialement.
Facturation,Je demande le remboursement immédiat de ma commande annulée. Cordialement.
Problèmes d'expédition,Le colis a été envoyé à la mauvaise ville. C'est urgent !
Facturation,Mon abonnement a été renouvelé sans mon accord. Cordialement.
Facturation,J'ai été prélevé deux fois pour le même achat. Cordialement.
Facturation,J'ai été prélevé deux fois pour le même achat. Merci d'avance.
Aide Technique,Comment faire pour réinitialiser mon mot de passe ? Pouvez-vous m'aider ?
Problèmes d'expédition,Le suivi de ma commande n'a pas bougé depuis 4 jours. Quel est le problème ?
Facturation,Mon abonnement a été renouvelé sans mon accord. Pouvez-vous m'aider ?
Aide Technique,Le logiciel est extrêmement lent sur mon ordinateur. C'est urgent !
Aide Technique,Le Wi-Fi ne semble pas fonctionner sur mon boîtier.
Problèmes d'expédition,Il manque un article dans ma commande reçue ce matin. Merci d'avance.
"Aide Technique,""Le clavier ne répond plus, que faire ? C'est urgent !"""
Facturation,J'ai été prélevé deux fois pour le même achat. Quel est le problème ?
Problèmes d'expédition,J'ai reçu un article cassé dans mon carton. Cordialement.
